file	url	year	months	day	hours	minutes	seconds	db	frequency	duration
event20230218_190452_92.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_190452_92.jpg width="700" height="400">	2023	02	18	19	04	52	-61.2	2050.6	0.1
event20230218_190830_93.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_190830_93.jpg width="700" height="400">	2023	02	18	19	08	30	-60.9	2089.3	0.1
event20230218_191009_94.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_191009_94.jpg width="700" height="400">	2023	02	18	19	10	09	-56.7	2074.6	0.6
event20230218_201627_96.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_201627_96.jpg width="700" height="400">	2023	02	18	20	16	27	-61.3	2072.8	0.1
event20230218_202504_97.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_202504_97.jpg width="700" height="400">	2023	02	18	20	25	04	-57.2	2065.4	0.1
event20230218_203136_98.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_203136_98.jpg width="700" height="400">	2023	02	18	20	31	36	-60.6	2081.6	0.1
event20230218_203521_99.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_203521_99.jpg width="700" height="400">	2023	02	18	20	35	21	-54.1	2031.6	0.2
event20230218_205330_100.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_205330_100.jpg width="700" height="400">	2023	02	18	20	53	30	-57.9	2071.2	0.3
event20230218_210412_101.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_210412_101.jpg width="700" height="400">	2023	02	18	21	04	12	-59.9	2050.9	0.1
event20230218_210929_102.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_210929_102.jpg width="700" height="400">	2023	02	18	21	09	29	-45.2	2054.6	0.2
event20230218_214714_103.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_214714_103.jpg width="700" height="400">	2023	02	18	21	47	14	-45.6	2085.7	6.4
event20230218_220146_104.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_220146_104.jpg width="700" height="400">	2023	02	18	22	01	46	-58.3	2100.1	0.1
event20230218_221426_105.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_221426_105.jpg width="700" height="400">	2023	02	18	22	14	26	-48.7	2062.3	0.9
event20230218_230801_106.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_230801_106.jpg width="700" height="400">	2023	02	18	23	08	01	-51.7	2080.7	0.3
event20230218_230931_107.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_230931_107.jpg width="700" height="400">	2023	02	18	23	09	31	-62.1	2077.2	0.1
event20230218_231520_108.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_231520_108.jpg width="700" height="400">	2023	02	18	23	15	20	-59.7	2096.6	0.1
event20230218_231756_109.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_231756_109.jpg width="700" height="400">	2023	02	18	23	17	56	-60.9	2077.5	0.1
event20230218_232018_110.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_232018_110.jpg width="700" height="400">	2023	02	18	23	20	18	-55.9	2051	0.3
event20230218_232224_111.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_232224_111.jpg width="700" height="400">	2023	02	18	23	22	24	-52.8	2057.9	0.2
event20230218_232322_112.jpg	<img src=https://ik.imagekit.io/nb4gbrqqe/event20230218_232322_112.jpg width="700" height="400">	2023	02	18	23	23	22	-60.9	2104.2	0.1
